latitude;longitude;start_time(YYYYMMddHHmmZ);duration(ms)
51.20747;4.3864202;201403011859+0100;174442
51.207153;4.386932;201403011905+0100;99183
51.214245;4.411596;201403011921+0100;3196397
51.21475;4.3931684;201403012038+0100;3532120
51.209976;4.389183;201403012152+0100;3831800
51.210766;4.3900046;201403012303+0100;7137995
51.210907;4.3895435;201403020119+0100;163174115
51.214245;4.411603;201403032245+0100;32276450
51.20723;4.3869247;201403040756+0100;37492771
51.207172;4.3868704;201403041827+0100;226189
51.206806;4.391376;201403041835+0100;1312
51.214233;4.4115453;201403041845+0100;48170018
51.195133;4.4176645;201403050822+0100;264652
51.20872;4.389238;201403050845+0100;233
51.207134;4.3869534;201403050852+0100;32730617
51.21425;4.4115744;201403051819+0100;49169375
51.211487;4.408219;201403060802+0100;213283
51.198322;4.416058;201403060812+0100;88787
51.20713;4.3869686;201403060832+0100;28160182
51.207134;4.3869877;201403061628+0100;9428112
51.214252;4.4115596;201403061916+0100;42191338
51.212944;4.407632;201403070724+0100;54822
51.21429;4.4115486;201403070731+0100;2303397
51.20716;4.386985;201403070825+0100;5195445
51.20717;4.3868675;201403070959+0100;8042899
51.20726;4.3867464;201403071220+0100;22487791
